,of_the,in_the,there_was,of_course,that_they,with_a,and_the,from_the,he_was,everything_was,but_it,it_was,right_out,me_.,in_a,had_been,he_had,i_'ve,enough_to,an_old,not_be,was_an,of_this,which_he,over_the,were_sailing,it_had,as_it,as_i,he_is,now_.,we_shall,they_would,the_bottom,bottom_of,out_from,if_he,here_were,leaving_the,of_metal,of_steel,they_should,was_of,leaning_over,else_.,'ve_always,such_as,watching_the,would_kill,nerves_of,been_drawn,of_life,course_of,for_three,the_smoke,steel_.,were_scattered,this_paper,the_very,take_you,to_your,a_slow,street_and,nothing_else,away_to,three_hours,were_passing,and_shouting,somewhere_in,to_shake,in_life,down_upon,life_and,above_my,my_station,station_in,upon_my,still_.,a_soft,dressed_in,shall_take,filling_the,kill_me,i_hold,books_.,it_contained,suit_of,the_passage,laid_down,a_suit,my_books,delay_.,should_not,smoke_and,always_been,but_otherwise,it_without,the_box,scattered_over,passage_but,had_laid,box_but,were_enough,you_away,would_naturally,hours_we,becomes_a,the_existence,existence_of,passing_over,the_roots,roots_.,soft_cloth,reminded_of,was_deadly,is_funny,importance_that,despoiled_of,been_insulted,arranging_the,be_suspected,suspected_of,sailing_over,been_hanging,destroy_it,were_leaning,otherwise_they,and_packages,the_strand,forgetful_of,life_as,your_aunt,without_delay,been_transported,been_deposited,'s_at,cap_which,banished_or,or_torn,been_seduced,and_literature,retaining_the,the_ever-changing,been_proud,very_first,was_quietly,kaleidoscope_of,and_disgrace,literature_were,been_banished,uncertain_of,seduced_or,transported_above,a_colder,a_historical,flows_through,be_uncertain,be_reminded,old_historic,contained_nothing,cloth_cap,of_heather,clock_ticking,deposited_above,and_flows,insulted_or,a_double-edged,been_stifled,stifled_or,be_despoiled,drawn_above,a_nicer,fleet_street,aunt_'s,old_clock,strand_.,together_watching,hanging_above,is_violent,the_photograph,discs_of,we_strolled,at_harrow,strolled_about,ebbs_and,it_ebbs,old_mortal,naturally_destroy,funny_we,heather_tweed,harrow_.,quietly_dressed,old_skeleton,about_together,tweed_with,together_leaving,disgrace_would,packages_were,umbrellas_were,deadly_still,be_forgetful,and_umbrellas,first_importance,hold_here,ticking_loudly,been_hacked,is_petty,is_nourishing,soft_juicy,old_university,together_retaining,soft_shimmering,and_small-pox,small-pox_were,tilting_over,soft_humming
but_it,1976,1221,252,167,163,238,578,286,323,2,11782,4671,1,204,383,374,388,67,103,41,214,79,105,80,92,0,387,149,160,81,110,16,41,23,18,6,92,1,3,1,3,17,68,0,15,2,20,6,2,1,3,45,15,3,7,1,2,1,50,5,12,6,2,6,6,2,1,0,1,2,12,10,24,0,0,0,10,1,4,2,0,1,4,2,2,8,0,14,2,0,0,2,42,0,18,0,8,4,1,3,4,3,2,2,1,0,4,10,8,0,3,1,0,0,0,1,4,0,0,1,1,1,1,0,1,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
it_was,18935,12492,2367,771,1354,2976,6563,3215,3771,57,4671,95866,9,865,3270,3915,4953,142,619,307,515,1542,850,1138,846,1,1084,3303,1268,101,224,44,435,208,140,92,958,11,62,12,21,267,662,8,92,14,351,42,17,8,17,306,177,43,40,10,11,3,565,13,61,33,66,60,85,44,19,11,31,27,61,94,224,8,3,10,162,49,61,48,1,10,7,7,19,32,26,90,32,20,2,26,240,19,59,5,58,62,5,2,39,2,6,6,17,2,3,24,24,6,23,3,0,9,5,1,12,0,0,6,3,8,0,2,1,1,0,1,7,2,46,7,26,3,4,6,4,0,1,1,0,1,0,2,27,5,1,8,0,2,1,0,0,1,0,0,0,3,0,4,1,1,1,0,1,0,0,0,0,0,0,0,4,19,1,4,0,3,1,9,0,1,0,5,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0
right_out,57,26,1,0,3,6,17,3,4,0,1,9,219,2,10,8,8,4,1,2,0,1,1,0,2,0,1,2,2,4,1,1,1,1,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me_.,1600,1173,291,112,89,369,585,283,383,5,204,865,2,23057,380,287,361,185,108,49,101,40,125,109,87,0,71,110,588,130,0,12,83,14,10,15,178,0,14,1,1,21,21,4,0,10,38,6,15,0,0,31,9,5,3,0,0,0,86,24,50,2,8,18,15,5,2,3,3,10,8,37,31,4,0,1,61,0,4,3,8,0,76,3,0,2,3,8,5,7,2,0,28,2,25,1,6,8,0,0,8,0,1,9,2,0,0,1,1,0,4,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_a,14152,7934,1295,334,585,3061,4708,2456,3153,24,383,3270,10,380,61676,2270,2929,238,303,379,332,213,630,971,826,4,383,532,784,382,72,124,289,156,112,76,736,12,71,5,22,79,124,20,29,10,221,46,6,5,10,236,145,45,51,5,8,6,320,19,99,75,85,46,63,22,10,11,32,16,40,81,155,5,0,16,85,25,132,357,11,14,6,6,24,10,141,73,18,72,3,8,87,25,32,3,33,55,7,0,20,1,5,2,4,7,11,25,25,2,18,1,1,6,3,0,2,2,1,5,1,3,2,0,2,1,1,0,15,3,21,4,17,4,7,14,5,0,0,2,2,3,0,4,13,3,0,5,0,0,1,0,2,0,3,1,0,0,0,1,5,6,1,1,4,0,0,0,0,0,0,0,3,18,2,4,0,0,0,5,0,3,0,1,2,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
had_been,14187,8928,1146,268,776,1701,4542,2617,2590,33,374,3915,8,287,2270,49953,10636,20,331,235,244,219,508,1225,564,0,3705,683,645,53,89,20,236,111,78,49,1171,12,52,12,12,88,132,9,38,0,127,64,2,6,104,213,158,83,32,3,13,4,467,3,26,13,37,20,66,37,6,5,17,14,56,46,170,2,2,7,88,22,18,39,2,12,5,3,10,14,26,67,27,11,5,10,106,10,43,4,36,42,6,2,17,1,4,1,5,3,1,17,21,5,13,8,0,14,0,0,1,3,13,5,3,19,0,16,2,1,1,0,15,5,35,1,15,26,25,3,5,0,1,7,3,4,0,10,33,3,0,4,1,19,3,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,2,0,0,0,0,2,15,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
he_had,15418,10449,1461,410,588,2428,4212,2988,7488,38,388,4953,8,361,2929,10636,74561,52,520,295,357,285,626,6167,641,0,728,486,439,149,130,20,253,106,80,69,4514,7,74,2,11,85,178,4,56,2,196,38,9,1,14,244,225,58,16,2,3,1,548,3,23,18,76,61,88,26,2,5,20,44,75,74,233,3,0,13,56,30,29,48,3,12,7,0,26,22,41,71,35,12,3,15,127,5,142,5,47,58,4,2,156,1,12,0,7,0,6,19,20,2,11,6,0,18,4,0,6,0,8,6,4,21,1,2,2,0,1,0,17,7,40,2,22,5,2,3,5,0,0,0,6,2,0,10,35,1,0,8,0,5,6,2,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,2,3,0,14,1,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_'ve,496,646,38,109,24,158,238,123,91,1,67,142,4,185,238,20,52,12318,75,25,13,7,61,7,64,0,10,38,354,42,77,6,13,6,4,4,56,0,2,0,1,3,2,0,21,290,6,6,1,0,0,22,6,14,0,1,0,1,31,13,27,0,7,11,2,5,0,0,1,5,5,2,25,1,1,0,10,2,5,3,5,0,2,2,10,0,1,0,0,0,4,0,0,0,47,0,4,3,0,0,1,0,0,2,0,0,1,1,1,2,2,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,6,3,1,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
enough_to,1435,878,210,59,100,233,402,206,534,2,103,619,1,108,303,331,520,75,7842,26,86,23,72,94,75,0,56,71,121,92,6,18,48,10,7,6,137,2,5,1,3,26,21,4,11,0,30,1,0,0,3,30,18,4,0,1,1,1,54,8,20,2,3,7,5,3,1,0,1,8,9,10,16,0,0,2,9,4,1,2,2,0,1,2,3,3,2,10,2,2,1,0,24,0,4,0,4,4,0,0,1,0,44,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,1,1,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an_old,1061,850,204,31,40,378,305,156,308,1,41,307,2,49,379,235,295,25,26,4890,22,368,33,99,67,0,34,35,61,62,11,3,7,17,13,5,44,0,5,1,2,5,12,1,2,0,12,3,1,0,1,22,8,5,4,0,1,0,31,0,1,0,12,3,5,0,1,2,3,4,3,5,11,1,0,0,8,4,1,16,0,2,1,1,2,1,16,6,4,4,0,0,8,0,3,1,1,9,1,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not_be,1985,1162,183,104,242,240,550,305,305,6,214,515,0,101,332,244,357,13,86,22,9986,30,144,102,62,0,59,118,170,136,48,66,137,14,11,2,170,2,4,1,1,63,15,0,15,1,44,1,2,0,1,48,21,5,4,0,0,1,41,4,50,2,5,5,5,1,1,0,1,0,10,5,34,0,1,0,20,1,1,2,1,1,0,1,1,4,1,5,3,2,2,1,674,2,3,2,5,1,0,0,2,0,2,2,2,0,2,4,3,1,0,0,0,6,0,0,0,1,0,0,17,8,0,0,0,1,0,0,0,1,4,3,2,0,0,2,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was_an,1261,846,1216,39,47,254,340,190,866,2,79,1542,1,40,213,219,285,7,23,368,30,5446,61,109,48,0,45,57,73,6,8,1,17,13,8,5,56,1,1,1,3,7,12,0,6,2,21,3,0,0,2,25,7,2,3,1,0,1,34,1,6,2,3,4,2,1,1,0,2,2,9,7,11,2,0,0,1,5,4,14,0,1,0,0,3,1,2,9,1,0,0,0,8,2,3,0,2,3,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,1,0,0,1,1,0,0,1,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of_this,4135,2892,317,80,169,472,1224,726,509,4,105,850,1,125,630,508,626,61,72,33,144,61,15315,207,160,0,107,158,244,123,26,63,59,97,92,19,141,0,7,1,4,31,60,3,10,2,45,12,1,1,2,75,117,10,9,3,3,23,135,4,43,0,9,16,7,4,3,1,4,8,9,17,64,0,1,2,37,0,2,4,5,2,3,2,1,7,10,13,6,5,1,3,25,5,6,0,10,13,2,0,4,0,1,1,0,0,8,26,29,2,6,1,1,4,0,0,3,1,0,1,3,3,0,0,2,0,0,0,2,2,7,2,10,0,0,7,0,0,0,0,1,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
which_he,5676,3307,442,75,136,966,1717,1114,3041,7,80,1138,0,109,971,1225,6167,7,94,99,102,109,207,16440,206,0,135,150,121,395,16,9,51,35,27,18,283,0,22,1,6,20,55,2,5,0,54,6,2,0,5,91,76,17,7,2,2,2,191,0,13,5,21,12,18,7,3,2,4,10,15,18,58,0,0,2,18,4,10,16,2,4,2,4,3,15,11,27,21,7,2,3,28,4,23,0,10,30,5,0,21,0,5,0,3,0,4,8,7,4,7,2,1,9,0,0,0,1,0,3,3,7,0,0,0,0,0,0,3,1,7,1,4,0,2,0,9,0,0,0,2,1,0,4,13,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
over_the,6143,2854,398,49,150,769,2197,861,536,12,92,846,2,87,826,564,641,64,75,67,62,48,160,206,15988,2,121,228,261,52,14,24,78,65,48,38,161,3,24,4,7,22,22,161,8,1,32,34,2,0,3,51,40,15,27,0,32,1,101,6,8,7,24,7,32,9,5,3,1,10,8,40,55,2,0,0,17,8,17,8,1,5,2,4,5,3,6,19,6,0,1,2,13,10,10,1,6,31,71,0,9,0,0,1,1,0,1,4,4,52,14,1,1,4,0,0,1,1,0,0,3,2,9,1,1,6,0,0,6,2,10,0,3,0,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
were_sailing,9,12,1,0,1,2,4,1,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
